PharmGKB Accession Id	Name	Generic Names	Trade Names	RxNorm Identifiers
PA164746251	dexbrompheniramine	D-Brompheniramine, Parabromdylamine, Parabromodylamine	Ilvin	22696
PA164747936	dexfenfluramine	(+)-fenfluramine, (s)-fenfluramine, D-Fenfluramine, Dexafenfluramine, Dexfenfluramina [Spanish], Dexfenfluramine Hydrochloride, Dexfenfluraminum [Latin], Dextrofenfluramine, L-Fenfluramine, Levofenfluramina [Spanish], Levofenfluramine, Levofenfluramine [INN], Levofenfluraminum [Latin]	Adifax, Redux	3268
PA166049174	dexibuprofen			
PA166049175	dexketoprofen			
PA166110257	dexlansoprazole	R-lansoprazole		816346
PA449256	dexmedetomidine	Medetomidina [Spanish], Medetomidine, Medetomidinum [Latin]	PRECEDEX	48937
PA10054	dexmethylphenidate	D-methylphenidate, Ritadex	Focalin	352372
PA449259	dexrazoxane	Desrazoxane, Dexrazoxano [INN-Spanish], Dexrazoxanum [INN-Latin], Dextrorazoxane, Razoxana [INN-Spanish], Razoxanum [INN-Latin], icrf-187	Cardioxane, Dyzoxane, Eucardion, Razoxane, Razoxin, Tepirone, Troxozone, Zinecard	42736
PA449269	dextroamphetamine	(+)-(s)-amphetamine, (+)-alpha-methylphenethylamine, (+)-alpha-methylphenylethylamine, (+)-amphetamine, (+)-phenaminum, (2S)-(+)-Amphetamine, (2S)-1-phenylpropan-2-amine, (S)-1-Phenyl-2-propanamine, (S)-1-phenyl-2-aminopropane, (S)-1-phenyl-2-propylamine, (s)-(+)-amphetamine, (s)-(+)-beta-phenylisopropylamine, (s)-alpha-methylbenzeneethanamine, (s)-alpha-methylphenethylamine, (s)-alpha-phenylethylamine, (s)-amphetamine, 1-Methyl-2-phenylethylamine, D-(+)-amphetamine, D-(s)-amphetamine, D-1-Phenyl-2-aminopropan, D-1-Phenyl-2-aminopropane, D-2-Amino-1-phenylpropane, D-alpha-methylphenethylamine, D-am, D-amphetamine, Desamfetamina, Dexamfetamina [inn-spanish], Dexamfetamine, Dexamfetaminum [inn-latin], Dexamphetamine, Dexamphetaminum [inn-latin], Dexanfetamina [inn-spanish], Dextroamphetamine, Dextroamphetamine sulfate, S(+)-amphetamine, d-1-Phenyl-2-aminopropan [German]	Amsustain, Dephadren, Desoxyn, Dexacaps, Dexadrine, Dexedrine, Dexedrine Spansule, Dexidrine, Dextrostat, Sympamin	3288
PA449273	dextromethorphan	D-Methorphan, D-Methorphan Hydrobromide, Delta-Methorphan, Demorphan, Demorphan Hydrobromide, Demorphine, Destrometerfano [Dcit], Dextromethorfan [Czech], Dextromethorphan Bromhydrate, Dextromethorphan Bromide, Dextrometorfano [INN-Spanish], Dextrometorphan, Dextromorphan, Dexyromethorphan, L-Methorphan, Levomethorphan, Levomethorphan [Ban:Dcf:Inn], Levomethorphane [INN-French], Levomethorphanum [INN-Latin], Levometorfano [INN-Spanish]	Antussan, Balminil DM, Balminil DM Children, Benylin Adult Formula Cough Suppressant, Benylin DM, Benylin DM 12 Hour, Benylin DM for Children, Benylin DM for Children 12 Hour, Benylin Pediatric Cough Suppressant, Calmylin #1, Canfodion, Cosylan, Cough-X, Creo-Terpin, Delsym, Delsym Cough Formula, Diabe-Tuss DM Syrup, Dormetan, Dormethan, Hihustan M., Hold DM, Koffex DM, Medicon, Methorate Hydrobromide, Methorphan, Metrorat, Novahistex DM, Novahistine DM, Pertussin CS Children's Strength, Pertussin DM Extra Strength, Robitussin Maximum Strength Cough Suppressant, Robitussin Pediatric, Robitussin Pediatric Cough Suppressant, Romilar, Sucrets 4 Hour Cough Suppressant, Triaminic DM Long Lasting for Children, Trocal, Tusilan, Tussade, Vicks 44 Cough Relief	3289
PA166278341	dextromethorphan hydrobromide / bupropion hydrochloride		Auvelity	2611256
PA166175998	dextromethorphan / quinidine			1040053
PA166183939	dextropropoxyphene	[(2S,3S)-4-(dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl] propanoate		
PA164752444	dextrothyroxine	d-thyroxine	Choloxin, Dynothel, Eulipos, Lisolipin	3292
PA164746059	dezocine	Dezocina [INN-Spanish], Dezocinum [INN-Latin]	Dalgan	22713
PA166348404	diacetyl dapsone	DADDS, N-[4-(4-acetamidobenzenesulfonyl)phenyl]acetamide, acedapsone, bis(4-acetamidophenyl)sulfone, diacetyl dapsone, diacetyl diaminodiphenylsulfone	Hansolar	
PA164712678	Diagnostic Agents			
PA164712680	Diagnostic Radiopharmaceuticals			
PA164712681	Diaminopyrimidines			
PA449281	diatrizoate	Amidotrizoate, Amidotrizoic Acid, Diatriazoate, Diatrizoate sodium, Diatrizoate sodium salt, Diatrizoic acid, Diatrizoic acid sodium salt, Meglumine diatrizoate, Methalamic acid, Sodium amidotrizoate, Sodium diatrizoate, Urografin acid, Urogranoic acid	Angiovist 282, Cardiografin, Conray 35, Diat, Gastrografin, Hypaque, Iothalamate, Odiston, Reno-dip, Renografin 76, Triombrin, Triombrine, Urotrast, Urovison, Urovist Cysto, Urovist Cysto Pediatric, Urovist Sodium 300, Vascoray	3319
PA449283	diazepam	DAP, Methyldiazepinone	"""Alboral"", ""Aliseum"", ""Alupram"", ""Amiprol"", ""An-Ding"", ""Ansiolin"", ""Ansiolisina"", ""Apaurin"", ""Apo-Diazepam"", ""Apozepam"", ""Armonil"", ""Assival"", ""Atensine"", ""Atilen"", ""Bensedin"", ""Bialzepam"", ""Calmocitene"", ""Calmpose"", ""Cercine"", ""Ceregulart"", ""Diacepan"", ""Dialag"", ""Dialar"", ""Diapam"", ""Diastat"", ""Diazemuls"", ""Diazemulus"", ""Diazepam Intensol"", ""Diazepan"", ""Diazetard"", ""Dienpax"", ""Dipam"", ""Dipezona"", ""Dizac"", ""Domalium"", ""Duksen"", ""Duxen"", ""E-Pam"", ""Eridan"", ""Eurosan"", ""Evacalm"", ""Faustan"", ""Faustan,"", ""Freudal"", ""Frustan"", ""Gewacalm"", ""Gihitan"", ""Kabivitrum"", ""Kiatrium"", ""LA III"", ""La-Iii"", ""Lamra"", ""Lembrol"", ""Levium"", ""Liberetas"", ""Mandrozep"", ""Morosan"", ""Neurolytril"", ""Noan"", ""Novazam"", ""Novo-Dipam"", ""Paceum"", ""Pacitran"", ""Paranten"", ""Paxate"", ""Paxel"", ""Plidan"", ""Pms-Diazepam"", ""Pro-Pam"", ""Q-Pam"", ""Q-Pam Relanium"", ""Quetinil"", ""Quiatril"", ""Quievita"", ""Relaminal"", ""Relanium"", ""Renborin"", ""Ruhsitus"", ""Saromet"", ""Sedapam"", ""Sedipam"", ""Seduksen"", ""Seduxen"", ""Serenack"", ""Serenamin"", ""Serenzin"", ""Servizepam"", ""Setonil"", ""Sibazon"", ""Sibazone"", ""Solis"", ""Sonacon"", ""Stesolid"", ""Stesolin"", ""Tensopam"", ""Tranimul"", ""Tranqdyn"", ""Tranquase"", ""Tranquirit"", ""Tranquo-Puren"", ""Tranquo-Tablinen"", ""Umbrium"", ""Unisedil"", ""Usempax Ap"", ""Valaxona"", ""Valeo"", ""Valiquid"", ""Valitran"", ""Valium"", ""Valrelease"", ""Vatran"", ""Velium"", ""Vival"", ""Vivol"", ""Zetran"", ""Zipan"""	3322
PA164712682	Diazepines, oxazepines and thiazepines			
PA449285	diazoxide		Dizoxide, Eudemine, Hyperstat, Hypertonalum, Mutabase, Proglicem, Proglycem	3327
PA166292901	dibekacin			3328
PA164712683	Dibenzo-bicyclo-octadiene derivatives			
PA449286	dibucaine		Cinchocaine, Cinchocaine HCL, Dermacaine, Dibucain, Dibucaine base, Dibucaine hydrochloride, Heavy Solution Nupercaine, Nupercainal, Nupercaine, Sovcaine, cinchocaine hydrochloride	3339
PA164712684	Dichloroacetamide derivatives			
PA165947835	dichloroacetic acid	DCA, dichloroacetate		3347
PA164745512	dichlorphenamide	"""4,5-dicholorobenzene-1,3-disulfonamide"", ""Dichlofenamide"", ""Dichlorophenamide"", ""Dichlorphenamid"", ""Diclofenamida [INN-Spanish]"", ""Diclofenamide"", ""Diclofenamidum [INN-Latin]"""	Antidrasi, Daranide, Dasanide, Glaucol, Oratrol	3353
PA449293	diclofenac	Diclofenac Acid, Diclofenac Potassium, Diclofenac Sodium, ISV-205	Allvoran, Apo-Diclo, Assaren, Benfofen, Cataflam, Delphimix, Dichlofenac, Dichronic, Diclo-Phlogont, Diclo-Puren, Diclobenin, Diclord, Dicloreum, Dolobasan, Duravolten, Dyloject, Ecofenac, Effekton, Kriplex, Neriodin, Novapirina, Novo-Difenac, Novo-Difenac SR, Nu-Diclo, Pennsaid, Primofenac, ProSorb-D, Prophenatin, Rhumalgan, Solaraze, Solaraze T, Tsudohmin, Valetan, Voldal, Voltaren, Voltaren Ophtha, Voltaren Ophthalmic, Voltaren Rapide, Voltaren SR, Voltaren-XR, Voltarol, Xenid	3355
PA164749649	dicloxacillin	Diclossacillina [DCIT], Dicloxacilin, Dicloxacilina [INN-Spanish], Dicloxacillin Sodium, Dicloxacilline [INN-French], Dicloxacillinum [INN-Latin], Dicloxacycline	Dycill, Dynapen, Maclicine, Pathocil	3356
PA449298	dicumarol	BHC, Bis-Hydroxycoumarin, Bishydroxycoumarin, Dicoumarin, Dicoumarol	Acadyl, Acavyl, Antitrombosin, Baracoumin, Cuma, Cumid, Dicoumal, Dicuman, Dicumaol R, Dicumarine, Dicumol, Dikumarol, Dufalone, Kumoran, Melitoxin, Temparin, Trombosan	1598
PA164744928	dicyclomine		Atumin, Bentomine, Bentyl, Bentyl Hydrochloride, Bentylol, Bentylol Hydrochloride, Di-Syntramine, Dicicloverina [INN-Spanish], Dicyclomine Hcl, Dicyclomine Hydrochloride, Dicycloverin, Dicycloverin Hydrochloride, Dicycloverine, Dicycloverine Hydrochloride, Dicycloverinum [INN-Latin], Diethylaminocarbethoxybicyclohexyl Hydrochloride, Diocyl, Diocyl Hydrochloride, Dyspas, Formulex, Kolantyl Hydrochloride, Mamiesan, Merbentyl, Oxityl-P, Procyclomin, Sawamin, Spasmoban, Wyovin, Wyovin Hydrochloride	3361
PA449301	didanosine	DDI, Dideoxyinosine	Videx, Videx EC	3364
PA164745534	dienestrol	Dehydrostilbestrol, Dehydrostilboestrol, Dienesterol, Dienoestrol	Agaldog, Cycladiene, DV, Dienoestrol BP, Dienol, Dinestrol, Dinovex, Estragard, Estraguard, Estrodienol, Estroral, Follormon, Gynefollin, Hormofemin, Isodienestrol, Oestrasid, Oestrodiene, Oestrodienol, Oestroral, Oestrovis, Restrol, Retalon, Sexadien, Synestrol, Teserene, Willnestrol, para-Dien	3368
PA164712685	Diet Formulations For Treatment Of Obesity			
PA164748883	diethylcarbamazine	Carbamazine, Carbilazine, Diethyl carbamazine, Ditrazine base, Ethodryl	Banocide, Bitirazine, Caracide, Caricide, Cypip, Decacide, Hetrazan, Notezine, Spatonin	3384
PA164778098	diethylpropion	Amfepramone HCL, Amfepramone Hydrochloride, Amfepramonum [INN-Latin], Amphepramonum hydrochloride, Anfepramona [INN-Spanish], DEA No. 1610, Diethylcathinone, Diethylpropion HCL, Diethylpropion Hydrochloride, Diethylpropione, Diethylpropione hydrochloride, alpha-Benzoyltriethylamine, alpha-Diethylaminopropiophenone	Adiposon, Amfepramon, Amfepramone, Amphepramon, Amphepramone, Anfamon, Anorex, Cegramine, Danylen, Derfon, Dobesin, Frekentine, Keramik, Keramin, Magrene, Moderatan, Modulor, Neobes, Nopropiophenone, Obesitex, Parabolin, Prefamone, Regenon, Regenon hydrochloride, Reginon, Silutin, Tenuate, Tenuate Dospan, Tenuate hydrochloride, Tepanil, Tepanil Ten-tab, Tylinal	3389
PA449307	diethylstilbestrol	DEB, DES, Diethylstilbesterol, Diethylstilbestrol BP, Diethylstilboesterol, Dietilestilbestrol, Percutatrine oestrogenique iscovesco, Rcra waste number U089, trans-Diethylstilbesterol, trans-Diethylstilbestrol, trans-Diethylstilboesterol	Acnestrol, Agostilben, Antigestil, Bio-des, Bufon, Climaterine, Comestrol, Comestrol estrobene, Cyren, Cyren A, Dawe's destrol, Desma, Destrol, Di-Estryl, DiBestrol 2 Premix, Diastyl, Dibestrol, Dicorvin, Distilbene, Domestrol, Dyestrol, Estilben, Estilbin MCO, Estril, Estrobene, Estrogenine, Estromenin, Estrosyn, Follidiene, Fonatol, Grafestrol, Gynopharm, Hi-Bestrol, Idroestril, Iscovesco, Makarol, Menostilbeen, Micrest, Microest, Milestrol, Neo-Oestranol I, New-Estranol 1, OeKolp, Oestrogenine, Oestrol vetag, Oestromenin, Oestromensil, Oestromensyl, Oestromienin, Oestromon, Pabestrol, Palestrol, Protectona, Rumestrol 1, Rumestrol 2, Sedestran, Serral, Sexocretin, Sibol, Sintestrol, Stibilium, Stil, Stil-Rol, Stilbestroform, Stilbestrol, Stilbestrone, Stilbetin, Stilboefral, Stilboestroform, Stilboestrol, Stilbofolin, Stilbofollin, Stilbol, Stilkap, Stilphostrol, Synestrin, Synthestrin, Synthoestrin, Synthofolin, Syntofolin, Tampovagan stilboestrol, Tylosterone, Vagestrol, neo-Oestranol 1, strobene	3390
PA134653756	diflomotecan			
PA164749408	diflorasone	Diflorasone Diacetate	Florone, Florone E, Maxiflor, Psorcon	91311
PA449313	diflunisal		Adomal, Difludol, Dolisal, Dolobid, Dolobil, Dolobis, Flovacil, Fluniget, Fluodonil, Flustar	3393
PA165958405	difluprednate	dfba, difluoroprednisolone butyrate acetate	Durezol	23043
PA164712687	Digestives, Incl. Enzymes	Digestives, Incl. Enzymes		
PA452244	digitalis glycosides			
PA449316	digitoxin	Digitalin, Digitoksin, Digitoxinum, Digitoxoside	Crystodigin, Tardigal, Unidigin	3403
PA449319	digoxin	Digitalis Glycoside	Cardoxin, Cogoxin, Cordioxil, Davoxin, Digacin, Digitekt, Digoxin Pediatric, Dilanacin, Dixina, Dokim, Dynamos, Eudigox, Homolle's Digitalin, Lanacordin, Lanacrist, Lanicor, Lanoxicaps, Lanoxin, Lenoxicaps, Lenoxin, Longdigox, Neo-Lanicor, Neodioxanin, Rougoxin, SK-Digoxin, Stillacor, Vanoxin	3407
PA164769030	digoxin immune fab	Ig gamma-2A chain C region, A allele	DigiFab	
PA166176885	dihydrocodeine	6-alpha-hydrocodol		
PA164743028	dihydroergotamine	"""9,10-dihydro-ergotamine"", ""Dihidroergotamina [INN-Spanish]"", ""Dihydroergotamine mesylate"", ""Dihydroergotamine methanesulfonate"", ""Dihydroergotamine monomethanesulfonate"", ""Dihydroergotaminum [INN-Latin]"""	Agit, Angionorm, D.H.E., D.H.E. 45, DET MS, DHE-45, Dergotamine, Diergo, Dihydergot, Dirgotarl, Endophleban, Ergomimet, Ergont, Ergotonin, Ikaran, Migranal, Morena, Orstanorm, Tonopres, Verladyn	3418
PA164752819	dihydroergotoxine			3419
PA164712688	Dihydropyridine derivatives			
PA166301762	dihydroquinidine	"""(S)-[(2R,4S,5R)-5-ethyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol"", ""hydroquinidine"""	Lentoquine	
PA166242461	dihydrostreptomycin	"""1,1'-[(1R,2R,3S,4R,5R,6S)-4-({5-deoxy-2-O-[2-deoxy-2-(methylamino)-alpha-L-glucopyranosyl]-3-C-(hydroxymethyl)-alpha-L-lyxofuranosyl}oxy)-2,5,6-trihydroxycyclohexane-1,3-diyl]diguanidine"", ""2-[(1R,2R,3S,4R,5R,6S)-3-(diaminomethylideneamino)-4-[(2R,3R,4R,5S)-3-[(2S,3S,4S,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-hydroxy-4-(hydroxymethyl)-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine"""		
PA164744345	dihydrotachysterol	Dihydrotachysterol, Vitamin D4	Antitanil, Calcamine, DHT Intensol, Dichystrolum, Dihydral, Dygratyl, Hytakerol, Parterol, Tachystin	3429
PA164746763	dihydroxyaluminium			
PA152530737	dilazep			
PA165958413	diloxanide	diloxanide furoate		67182
PA449334	diltiazem	d-cis-Diltiazem	Acalix, Adizem, Altiazem, Anginyl, Angizem, Anoheal, Apo-Diltiaz, Britiazim, Bruzem, Calcicard, Cardizem, Cardizem CD, Cardizem SR, Cardizen LA, Cartia XT, Citizem, Cormax, Deltazen, Dilacor, Dilacor-XR, Diladel, Dilcontin, Dilpral, Dilrene, Dilt-cd, Dilta-Hexal, Diltia, Dilticard, Dilzem, Dilzen, Endrydil, Herbesser, Incoril AP, Masdil, Novo-Diltazem, Nu-Diltiaz, Syn-Diltiazem, Tiamate, Tiazac, Tiazac Tildiem, Tiazac XC, Viazem	3443
PA449338	dimenhydrinate	Diphenhydramine Theoclate, Diphenhydrinate	Amosyt, Anautine, Andramine, Antemin, Aviomarin, Chloranautine, Diamarin, Dimate, Dimenest, Dimentabs, Dramalen, Dramamin, Dramarin, Dramilin, Dramyl, Dromyl, Eldodram, Gravinol, Gravol, Hydrinate, Menhydrinate, Neo-Navigan, Novamine, Permital, Reise-Engletten, Supremal, Teodramin, Travelin, Travelmin, Troversin, Vomex A, Xamamina	3444
PA165958406	dimercaprol	"""2,3-dimercapro"", ""2,3-dimercaptopropanol"", ""bal"", ""british anti-lewisite"""	Bal In Oil Injection, Dimercaprol	3445
PA165958420	dimethindene	(±)-dimet¿hindene, dimethylp¿yrindene	Fengel, Fenistil, Foristal, Pecofenil, Triten	3449
PA166152838	dimethyl fumarate		Fumaderm	1373478
PA449342	dimethyl sulfoxide	Diemthyl sulfoxide, Dimethyl sulfoxide BP, Dimethyl sulfur oxide, Dimethyl sulphoxide, Dimethyl sulpoxide, Dimexidum, Methyl sulfoxide, Methylsulfinylmethane, Sulfinylbis-methane, Sulfinylbismethane, Sulfinyldimethane	Decap, Deltan, Demasorb, Demavet, Demeso, Demsodrox, Dermasorb, Dimexide, Dipirartril-tropico, Dolicur, Doligur, Domoso, Dromisol, Durasorb, Gamasol 90, Hyadur, Infiltrina, Kemsol, Rimso 50, Sclerosol, Somipront, Syntexan, Topsym	3455
PA164781385	dinoprost tromethamine	"""Dinoprost, trometamol salt"", ""PGF2-alpha THAM"", ""PGF2alpha THAM"", ""Prostaglandin F2-alpha THAM"", ""Prostaglandin F2a tromethamine"", ""Prostaglandin F2alpha tham"", ""Prostin F2 Alpha"""	Dinolytic, Ensaprost, Lutalyse, Panacelan F tromethamine salt, Pronalgon F, Prostalmon F, Zinoprost	23321
PA166160060	dinutuximab		UNITUXIN	1606274
PA164712689	Dipeptidyl peptidase 4 (DPP-4) inhibitors	DPP-4 inhibitors, DPP4 inhibitors, DPP4i, gliptins		
PA164748388	diphemanil methylsulfate		Prantal	23364
PA449349	diphenhydramine	"""2-diphenylmethoxy-n,n-demthylethanamine"", ""Diphenhydramine Base"", ""Diphenhydramine Hcl"", ""Diphenhydramine Salicylate"", ""Diphenylhydramine"", ""beta-dimethylaminoethyl benzhydryl ether"", ""o-benzhydryldimethylaminoethanol"""	Aleryl, Alledryl, Aller-Med, Allerdryl, Allergan B, Allergeval, Allergical, Allergin, Allergina, Allergival, Allermax Caplets, Ambodryl, Amidryl, Antistominum, Antitussive, Antomin, Automin, Bagodryl, Banophen, Banophen Caplets, Baramine, Beldin, Belix, Ben-Allergin, Bena, Benachlor, Benadrin, Benadryl, Benadryl Allergy, Benadryl Preservative Free, Benapon, Benodin, Benodine, Benylan, Benylin, Benzantine, Benzhydramine, Benzhydraminum, Benzhydril, Benzhydroamina, Benzhydryl, Betramin, Compoz, Dabylen, Debendrin, Dermistina, Dermodrin, Desentol, Diabenyl, Diabylen, Dibendrin, Dibenil, Dibondrin, Difedryl, Difenhydramin, Difenidramina, Dihidral, Dimedrol, Dimedryl, Diphantine, Diphen, Diphen Cough, Diphenhist, Diphenhist Captabs, Dormarex 2, Dryistan, Drylistan, Dylamon, Etanautine, Genahist, Histaxin, Hyadrine, Hydramine, Hyrexin, Ibiodral, Medidryl, Mephadryl, Nausen, Nervine Nighttime Sleep-Aid, Novamina, Nytol Quickcaps, Nytol Quickgels, Probedryl, Restamin, Rigidil, Rigidyl, Siladryl, Silphen, Sleep-Eze D, Sleep-Eze D Extra Strength, Sominex, Soverin, Syntedril, Syntodril, Torinal, Twilite Caplets, Unisom Sleepgels Maximum Strength, Vena, Vicks Formula 44	3498
PA164746037	diphenidol	Difenidol, Difenidol HCl, Difenidol hydrochloride, Difenidolo [DCIT], Difenidolum [INN-Latin], Diphenidol HCl, Diphenidol hydrochloride	Ansmin, Avomol, Celmidol, Cephadol, Cerrosa, Maniol, Nometic, Satanolon, Verterge, Vontrol, Yesdol	23370
PA164746539	diphenoxylate	Dea No. 9170, Difenossilato [Dcit], Difenoxilato [INN-Spanish], Diphenoxalate, Diphenoxylate Hydrochloride, Diphenoxylatum [INN-Latin]	Lomotil	3500
PA164712690	Diphenylbutylpiperidine derivatives			
PA164712691	Diphenylmethane derivatives			
PA164712692	Diphenylpropylamine derivatives			
PA164746377	diphenylpyraline	Diphenylpyralamine, Diphenylpyraline Hydrochloride, Diphenylpyrilene	Allergen, Belfene, Dafen, Dayfen, Diafen, Hispril, Histryl, Histyn, Hystryl, Lyssipoll, Mepiben, Neargal	23386
PA164712693	Diphtheria vaccines			
PA449364	dipivefrin		AKPro, DPE, Dipivefrin HCL, Dipivefrin [USAN], Dipivefrina [INN-Spanish], Dipivefrine, Dipivefrinum [INN-Latin], Ophtho-Dipivefrin, Propine, Propine C Cap B.I.D.	23410
PA449367	dipyridamole	Dipiridamol, Dipyridamine, Dipyridamol, Dipyudamine, Dypyridamol, Usaf Ge-12	Aggrenox, Agilease, Anginal, Apo-Dipyridamole Fc, Apo-Dipyridamole Sc, Apricor, Cardioflux, Cardoxil, Chilcolan, Cleridium, Cleridium 150, Coribon, Coridil, Coronarine, Corosan, Coroxin, Curantyl, Dipyidamole, Dipyridan, Gulliostin, IV Persantine, Justpertin, Kurantil, Natyl, Novo-Dipiradol, Peridamol, Permiltin, Persantin, Persantine, Piroan, Prandiol, Prandiol 75, Protangix, RA 8, RA-8, Stenocardil, Stenocardiol, Stimolcardio	3521
PA166128206	dipyrone	metamizole		3523
PA166179660	direct acting antivirals			
PA166342382	Direct factor Xa inhibitors	Factor Xa Inhibitors		
PA164712694	Direct thrombin inhibitors			
PA449368	dirithromycin		Dynabac	23437
PA166335022	diroximel fumarate	"""4-O-[2-(2,5-dioxopyrrolidin-1-yl)ethyl] 1-O-methyl (E)-but-2-enedioate"", ""Vumerity"""		2261783, 2261789
PA449373	disopyramide	Disopiramida [INN-Spanish], Disopyramide Free Base, Disopyramide Phosphate, Disopyramidum [INN-Latin]	Dicorantil, Isorythm, Lispine, Norpace, Norpace CR, Ritmodan, Rythmodan, Rythmodan P, Rythmodan-La, Searle 703, Xi-Disopyramide	3541
PA449376	disulfiram	Disulfuram, Disulphuram, Dupon 4472, Dupont Fungicide 4472, TATD, TETD, TTD, Tetraethylthioperoxydicarbonic Diamide, Tetraethylthiram Disulfide, Tetraethylthiram Disulphide, Tetraethylthiuram, Tetraethylthiuram Disulfide, Tetraethylthiuram Disulphide, Tetraethylthiuram Sulfide, Tetraethylthiuran Disulfide, Usaf B-33	Abstensil, Abstinil, Abstinyl, Accel Tet, Accel Tet-R, Akrochem Tetd, Alcophobin, Alk-Aubs, Ancazide Et, Antabus, Antabuse, Antadix, Antaenyl, Antaethan, Antaethyl, Antaetil, Antalcol, Antetan, Antethyl, Antetil, Anteyl, Anthethyl, Anti-Ethyl, Antiaethan, Anticol, Antietanol, Antietil, Antikol, Antivitium, Aversan, Averzan, Bonibal, Contralin, Contrapot, Cronetal, Dicupral, Disetil, Disulfan, Disulfram, Ekagom Dtet, Ekagom Teds, Ekagom Tetds, Ekaland Tetd, Ephorran, Espenal, Esperal, Etabus, Ethyl Thiram, Ethyl Thiudad, Ethyl Thiurad, Ethyl Tuads, Ethyl Tuads Rodform, Ethyl Tuex, Ethyldithiourame, Ethyldithiurame, Etyl Tuex, Exhoran, Exhorran, Gababentin, Hoca, Krotenal, Nocbin, Nocceler Tet, Nocceler Tet-G, Noxal, Perkacit Tetd, Perkait Tetd, Refusal, Ro-Sulfiram, Sanceler Tet, Sanceler Tet-G, Soxinol Tet, Stopaethyl, Stopethyl, Stopety, Stopetyl, Super Rodiatox, TTS, TTS X, Tenurid, Tenutex, Tetidis, Tetradin, Tetradine, Tetraetil, Teturam, Teturamin, Thiocid, Thiophos, Thioscabin, Thireranide, Tillram, Tiuram	3554
PA151249535	diuretics			
PA164712695	Diuretics And Potassium-sparing Agents In Combination			
PA164783479	divalproex sodium	Divalproex sodium, Valproate semisodium	Depakote, Depakote CP, Depakote ER, Depakote Sprinkle, Epival	266856
PA166110254	divicine	2,6-diamino-1,6-dihydro-4,5-pyrimidinedione		
PA449381	dobutamine		Dobutamina [INN-Spanish], Dobutamine Hcl, Dobutamine Hcl in Dextrose 5%, Dobutamine Hydrochloride, Dobutamine [Usan:Ban:Inn], Dobutamine [Usan], Dobutaminum [INN-Latin], Dobutrex, Inotrex, Racemic-Dobutamine	3616
PA449383	docetaxel	"""Docetaxel anhydrous"", ""Docetaxel, Trihydrate"", ""TXL"", ""docetaxel"""	Taxotere	72962
PA164749211	docosanol	Behenyl alcohol, docosanol	Abreva	594680
PA451988	dodecane-trimethylamine			
PA449389	dofetilide	Dofetilida [INN-Spanish], Dofetilidum [INN-Latin]	Dofetilida, Tikosyn	49247
PA449390	dolasetron		Anzemet, Dolasetronum [INN-Latin], Dolasteron	68091
PA166114961	dolutegravir			1433868
PA166184505	dolutegravir / abacavir / lamivudine		Triumeq	1546887
PA134711056	domperidone		Domperidon, Lopac-D-122, Motilium, Nauzelin	3626
PA166400001	donanemab		Kisunla	2687966
PA449394	donepezil		Aricept, Aricept ODT, Eranz	135447
PA164712696	Dopa and dopa derivatives			
PA449396	dopamine	DA, Deoxyepinephrine, Dopamin, Dopamine HCl, Dophamine, Hydroxytyramin, Hydroxytyramine, Oxytyramine	Intropin, Revimine	3628
PA164712697	Dopamine agonists			
PA164712698	Dopaminergic Agents			
PA166399661	dordaviprone	"""11-benzyl-7-[(2-methylphenyl)methyl]-2,5,7,11-tetrazatricyclo[7.4.0.02,6]trideca-1(9),5-dien-8-one"", ""7-benzyl-4-(2-methylbenzyl)-2,4,6,7,8,9-hexahydroimidazo[1,2-a]pyrido[3,4-e]pyrimidin-5(1H)-one"""		
PA10318	dornase alfa	DNase, DNase I, Deoxyribonuclease I, Deoxyribonuclease-1 precursor, Dornase alfa, rhDNase	Dilor, Dilor-400, Lufyllin, Lufyllin-400, Neothylline, Pulmozyme, Pulmozyme, Viscozyme	337623
PA164748765	dorzolamide		Trusopt	60207
PA166251481	dostarlimab	dostarlimab-gxly	JEMPERLI	472407780
PA166131608	dovitinib			
PA164744927	doxacurium	doxacurium chloride	Nuromax	23651
PA164784026	doxapram		Dopram, Doxapram HCL, Doxapram hydrochloride, Stimulexin	3637
PA449407	doxazosin	doxazosin mesilate	Alfadil, Cardenalin, Cardular, Cardura, Cardura XL, Cardura-1, Cardura-2, Cardura-4, Carduran, Diblocin, Doxazosin mesylate, Normothen, Supressin	49276
PA449409	doxepin	"""Doxepin Hcl"", ""Doxepin, Hydrochloride"", ""Doxepina [INN-Spanish]"", ""Doxepine"", ""Doxepinum [INN-Latin]"""	Adapin, Aponal, Curatin, Quitaxon, Sinequan, Triadapin, Zonalon	3638
PA449412	doxorubicin	Doxorubicin HCl, Doxorubicin Hydrochloride, Doxorubicina [INN-Spanish], Doxorubicine [INN-French], Doxorubicinum [INN-Latin], doxorubicin	ADM, Adriablastin, Adriamycin, Adriamycin PFS, Adriamycin RDF, Adriamycin Semiquinone, Adriblastin, Adriblastina, Caelyx, DM2, Doxil, Doxo, Myocet, RDF Rubex, Resmycin, Rubex	3639
